taxon,rbcL,matK,ITS,trnL-trnF
Atriplex hortensis,FR775290.1,FR775272.1,HM005855.1,HE577500.1
Atriplex patula,X15925.1,AY042550.1,HM005859.1,DQ499379.1
Atriplex rosea,X55831.1,HM005778.1,HM005858.1,
Aureolaria flava,KJ773297.1,KJ772569.1,,
Aureolaria grandiflora,,,,
Aureolaria pedicularia,AY563940.1,AY563920.1,EU827879.1,EU828208.1
Aureolaria virginica,,,,
Avena fatua,AJ746257.1,GU367282.1,KF713179.1,
Avena sativa,L15300.1,,EU833802.1,GU367246.1
Azolla cristata,,,JX297313.1,JX273520.1
Bacopa rotundifolia,,,,
Ballota nigra,KM360663.1,HQ911497.1,JN680358.1,FJ854151.1
Baptisia alba,KJ773304.1,KJ772576.1,AY773348.1,
Baptisia australis,KF613006.1,AY386900.1,AY091572.1,FJ499421.1
Baptisia bracteata,,,AY773349.1,
Baptisia tinctoria,Z70120.1,,,
Barbarea verna,HM849808.1,HM850741.1,KC133365.1,
Barbarea vulgaris,HQ589972.1,,X98632.1,
Bartonia virginica,KF496033.1,KF496070.1,EU812474.1,EU834127.1
Beckmannia syzigachne,EF125142.1,EF137487.1,EU792342.1,DQ353965.1
Belamcanda chinensis,AJ309694.1,AY596652.1,KP058312.1,AJ409610.1
Bellis perennis,KM360665.1,JN893935.1,JN315918.1,JN315894.1
Berberis canadensis,,JQ172859.1,KC575590.1,
Berberis thunbergii,AF139878.1,AB069827.1,KM668068.1,FJ626551.1
Berberis vulgaris,KF997386.1,JQ172902.1,KC575608.1,
Berteroa incana,KM360667.1,JF926670.1,AY254544.1,KF022814.1
Berula erecta,KM360668.1,JN895702.1,DQ005660.1,
Besseya bullii,,,AY483211.1,
Betula alleghaniensis,KF418936.1,AY372015.1,AY761100.1,KF419075.1
Betula nigra,L01889.2,KJ772579.1,AJ783646.1,
Betula papyrifera,X56617.1,AY372022.1,AF432067.1,FJ012058.1
Betula pendula,KM360670.1,AY372011.1,JN247411.1,FJ012059.1
Betula populifolia,KF418944.1,AY372024.1,AJ783644.1,KF419082.1
Betula pumila,KC482105.1,KC474179.1,AJ783642.1,
Bidens aristosa,,,KM347903.1,
Bidens beckii,,,U67096.1,
Bidens bipinnata,KJ773309.1,KJ772581.1,KM347904.1,
Bidens cernua,HQ589973.1,JN893870.1,U67098.1,
Bidens discoidea,,,KM347906.1,
Bidens frondosa,HQ589974.1,HQ593192.1,U67094.1,
Bidens trichosperma,,AY551476.1,,EU047837.1
Bidens tripartita,KM360671.1,,U67097.1,EU047835.1
Bidens vulgata,,,,
Blephilia ciliata,,,AF369167.1,GU381580.1
Blephilia hirsuta,,,JQ669077.1,
Boechera canadensis,,,JX146971.1,EU620405.1
Boechera grahamii,KJ841137.1,,,
Boechera laevigata,DQ006074.1,,DQ005987.1,JX146121.1
Boechera missouriensis,,,JX146968.1,
Boechera shortii,,,EU274846.1,EU154254.1
Boechera stricta,,AF144350.1,GQ166414.1,
Boehmeria cylindrica,KJ773314.1,KJ772586.1,,
Boltonia asteroides,,,AF046975.1,
Borago offlcinalis,,,,
Bothriochloa laguroides,,,DQ005026.1,DQ004965.1
Botrychium campestre,,,,AY138426.1
Botrychium dissectum,AY138401.1,,,
Botrychium matricariifolium,L40967.1,,,KF700429.1
Botrychium multifldum,,,,
Botrychium simplex,,,,
Botrychium virginianum,AY138407.1,AB716741.1,,KF700456.1
Bouteloua curtipendula,JN681654.1,AF144578.1,EF060131.1,
Bouteloua gracilis,JX848489.1,HE575865.1,EU144379.1,
Bouteloua hirsuta,,,EF060187.2,JF791682.1
Brachyelytrum erectum,KJ841140.1,LN554425.1,EU489105.1,EU119358.1
Brasenia schreberi,M77031.1,DQ185529.1,EF526394.1,GQ380005.1
Brassica juncea,AY167979.1,,FJ980406.1,
Brassica napus,JF807908.1,,JQ085860.1,EF426775.1
Brassica nigra,HM849822.1,AB354272.1,AF128102.1,KF947386.1
Brassica rapa,AY167977.1,,GQ202251.1,GQ268033.1
Brickellia eupatorioides,KJ773319.1,KJ772589.1,JQ737028.1,
Bromus arvensis,,,KM077301.1,EU036175.1
Bromus brizaeformis,,,,
Bromus carinatus,KM360707.1,,HQ600553.1,AB732921.1
Bromus ciliatus,JX848490.1,,AY367909.1,
Bromus commutatus,AJ746287.1,JN895848.1,,AB732923.1
Bromus hordeaceus,KM360679.1,,KM077298.1,AB732925.1
