Carex alata,AY779066.1,
Carex albicans,AY325479.1,
Carex albolutescens,DQ115088.1,
Carex albursina,AY757626.1,
Carex alopecoidea,EU000924.1,
Carex amphibola,DQ006000.1,
Carex annectens,DQ115092.1,
Carex aquatilis,AY278301.1,
Carex arctata,DQ998900.1,
Carex argyrantha,AY779069.1,
Carex atherodes,,
Carex atlantica,DQ115104.1,
Carex aurea,DQ998901.1,
Carex bebbii,AY779071.1,
Carex bicknellii,AY757403.1,
Carex blanda,AY757627.1,
Carex brevior,AY779075.1,
Carex bromoides,AY757404.1,
Carex brunnescens,KF977435.1,
Carex bushii,,
Carex buxbaumii,AY278262.1,
Carex canescens,AY757406.1,
Carex careyana,AF027482.1,
Carex cephaloidea,AY757407.1,
Carex cephalophora,AY757408.1,
Carex chordorrhiza,AY757409.1,
Carex communis,DQ998906.1,
Carex comosa,AY757575.1,
Carex conjuncta,EU000955.1,
Carex conoidea,,
Carex crawei,,
Carex crawfordii,AY779089.1,
Carex crinita,AY757589.1,
Carex cristatella,DQ115134.1,
Carex crus-corvi,AY757410.1,
Carex cryptolepis,JX409851.1,
Carex cumulata,AY779091.1,
Carex davisii,,
Carex debilis,AF285029.1,
Carex deweyana,AY757412.1,
Carex diandra,AY699626.1,
Carex digitalis,DQ998908.1,
Carex disperma,AY757414.1,
Carex duriuscula,DQ115164.1,
Carex eburnea,DQ998912.1,
Carex echinata,EU352224.1,
Carex emmonsii,,
Carex emoryi,GQ223598.1,
Carex festucacea,AY779098.1,
Carex flava,AY278310.1,
Carex folliculata,AY757601.1,
Carex formosa,,
Carex frankii,,
Carex garberi,,
Carex glaucodea,,
Carex gracilescens,,
Carex gracillima,DQ998918.1,
Carex granularis,DQ998919.1,
Carex gravida,EU001018.1,
Carex grayi,AY757580.1,
Carex grisea,,
Carex haydenii,AY779106.1,
Carex hirsutella,,
Carex hirta,AY278296.1,
Carex hirtifolia,AY757611.1,
Carex hitchcockiana,AY757614.1,
Carex hystericina,AY757574.1,
Carex interior,AY757419.1,
Carex intumescens,KF977436.1,
Carex jamesii,AF027465.1,
Carex lacustris,,
Carex laeviconica,,
Carex laevivaginata,AY757420.1,
Carex lasiocarpa,AY278297.1,
Carex laxiculmis,,
Carex laxiflora,AF284964.1,
Carex leavenworthii,EU001024.1,
Carex leptalea,AF285060.1,
Carex leptonervia,,
Carex limosa,AY278298.1,
Carex longii,JN903145.1,
Carex lupuliformis,,
Carex lupulina,AY757576.1,
Carex lurida,AF284962.1,
Carex meadii,,
Carex mesochorea,DQ115216.1,
Carex molesta,AY779122.1,
Carex muehlenbergii,AY757422.1,
Carex muskingumensis,AY779126.1,
Carex nebrascensis,GQ223627.1,
Carex nigromarginata,AY325478.1,
Carex normalis,AY779127.1,
Carex oligocarpa,DQ006001.1,
Carex oligosperma,AY757578.1,
Carex pallescens,AY278299.1,
Carex pauciflora,AY757631.1,
Carex peckii,DQ998940.1,
Carex pedunculata,AY757623.1,
Carex pellita,,
Carex pensylvanica,AY757622.1,
Carex plantaginea,AY757613.1,
Carex platyphylla,,
Carex praegracilis,EU001049.1,
Carex prairea,DQ115252.1,
Carex prasina,AF285043.1,
Carex praticola,AY779145.1,
Carex projecta,KF977437.1,
Carex pseudocyperus,EU352234.1,
Carex radiata,AY757424.1,
Carex retrorsa,AY757577.1,
Carex richardsonii,,
Carex rosea,AY757425.1,
Carex rugosperma,AF284978.1,
Carex sartwellii,DQ115266.1,
Carex scabrata,AY757585.1,
Carex scoparia,AY779156.1,
Carex seorsa,DQ115270.1,
Carex shortiana,DQ115272.1,
Carex siccata,EU001064.1,
Carex sparganioides,EU001069.1,
Carex spicata,FJ694690.1,
Carex sprengelii,,
Carex squarrosa,AY757587.1,
Carex sterilis,DQ115286.1,
Carex stipata,AY757426.1,
Carex straminea,AY779163.1,
Carex stricta,GQ223638.1,
Carex suberecta,AY779166.1,
Carex swanii,AY757603.1,
Carex tenera,AY779171.1,
Carex tenuiflora,AY757427.1,
Carex tetanica,,
Carex texensis,EU001072.1,
Carex tonsa,AF284978.1,
Carex torreyi,AF285051.1,
Carex torta,AF285021.1,
Carex tribuloides,AY757428.1,
Carex trichocarpa,AY757570.1,
Carex trisperma,AY757429.1,
Carex tuckermanii,AY757573.1,
Carex typhina,AF285032.1,
Carex utriculata,,
Carex vaginata,AY278285.1,
Carex vesicaria,AY278289.1,
Carex virescens,AY757606.1,
Carex viridula,AY278308.1,
Carex vulpinoidea,AY757430.1,
Carex woodii,,
Carex x,,
Carpinus caroliniana,AJ783634.1,
Carthamus tinctorius,EF483949.1,
Carum carvi,KM887371.1,
Carya cordiformis,AF303820.1,
Carya laciniosa,KF201308.1,
Carya ovalis,AF174618.1,
Carya ovata,AF174620.1,
Carya tomentosa,EU646134.1,
Castanea dentata,,
Castilleja coccinea,KC480308.1,
Castilleja sessiliflora,KC480317.1,
Catalpa speciosa,AY486307.1,
Caulophyllum thalictroides,,
Ceanothus americanus,HQ325310.1,
Ceanothus herbaceus,HQ325325.1,
Celastrus orbiculatus,EU328766.1,
